Title,Link,Author Keywords,Index Keywords
"The 2013 International Society for Heart and Lung Transplantation Guidelines for mechanical circulatory support: Executive summary","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872848201&doi=10.1016%2fj.healun.2012.09.013&partnerID=40&md5=3b0a8a530de167f048ecfcfc04b843b3",,"adrenalin; dobutamine; glyceryl trinitrate; hydralazine; milrinone; nitroprusside sodium; noradrenalin; vasopressin; acute heart infarction; alcohol abuse; antibiotic prophylaxis; aorta stenosis; aorta valve disease; aorta valve regurgitation; article; assisted circulation; bacterial endocarditis; blood clotting disorder; clinical classification; clinical evaluation; comorbidity; congenital heart disease; coronary artery disease; echocardiography; expectation; gastrointestinal hemorrhage; heart atrium arrhythmia; heart failure; heart index; heart septum defect; heart transplantation; hematologic disease; hospital discharge; human; hypertension; infection prevention; infection risk; insurance; intracardiac thrombosis; lung transplantation; mechanical circulatory support; medical documentation; mitral valve stenosis; multiple organ failure; New York Heart Association class; nutritional assessment; obesity; palliative therapy; patient selection; peripheral vascular disease; practice guideline; priority journal; pulmonary hypertension; risk assessment; risk management; social network; substance abuse; systolic heart failure; tricuspid valve regurgitation; Assisted Circulation; Endocarditis; Heart Failure; Heart Valve Diseases; Heart-Lung Transplantation; Humans; Myocardial Ischemia; Patient Education as Topic; Patient Selection; Quality of Life; Risk Assessment; Societies, Medical"
"Monitoring urbanization in mega cities from space","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855450513&doi=10.1016%2fj.rse.2011.09.015&partnerID=40&md5=89f39e9a498e2b81ce1a1d2462e919bf","Change detection; Image analysis; Landsat; Mega cities; TerraSAR-X; Urbanization","Change detection; LANDSAT; Megacities; TerraSAR-X; Urbanization; Dynamics; Image analysis; Population statistics; Remote sensing; Risk management; Satellites; Signal detection; Urban planning; accuracy assessment; agglomeration; environmental monitoring; habitat type; image analysis; Landsat; megacity; pixel; political change; population size; remote sensing; risk assessment; satellite data; spatiotemporal analysis; TerraSAR-X; urban area; urbanization; Federal District [Mexico]; Honshu; Japan; Kanto; Mexico [North America]; Mexico City; New York [United States]; Tokyo [Kanto]; United States"
"How risk management can prevent future wildfire disasters in the wildland-urban interface","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892611367&doi=10.1073%2fpnas.1315088111&partnerID=40&md5=5d841856c72879d32f61814d74b7d4af","Fuel treatment; Home ignition zone; Risk assessment","article; disaster; ecosystem; fatality; fire; home; priority journal; risk management; risk reduction; United States; urban area; fuel treatment; home ignition zone; risk assessment; Cities; Colorado; Disaster Planning; Fires; Models, Theoretical; Risk Management; Wilderness"
"In situ simulation: Detection of safety threats and teamwork training in a high risk emergency department","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878343656&doi=10.1136%2fbmjqs-2012-000942&partnerID=40&md5=b73a90a31cd3cb73824dc132fe9981ed",,"Anesthetist Non Technical Skill Scale; article; emergency patient; emergency ward; health care personnel; heart ventricle fibrillation; hospital equipment; human; knowledge; leadership; named inventories, questionnaires and rating scales; nurse; nursing role; patient care; physician; responsibility; resuscitation; safety; simulation; skill; teamwork; threat; training; traumatology; education; educational model; emergency health service; health service; medical staff; organization and management; outcome assessment; patient safety; pediatrics; personnel management; procedures; risk management; standards; teaching; United States; university hospital; Academic Medical Centers; Emergency Service, Hospital; Humans; Medical Staff, Hospital; Models, Educational; Ohio; Outcome Assessment (Health Care); Patient Care Team; Patient Safety; Patient Simulation; Pediatrics; Risk Management; Staff Development; Urban Health Services"
"Spatiotemporal patterns of remotely sensed PM2.5 concentration in China from 1999 to 2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949816955&doi=10.1016%2fj.rse.2015.12.008&partnerID=40&md5=e2d5f9a60ff215eb739f65c3d9a1ba38","Health risk exposure; PM2.5 concentration; Spatiotemporal patterns; Standard deviation ellipse analysis; Zoning control","Air pollution; Health; Health risks; Pollution; Pollution control; Remote sensing; Risk assessment; Risk management; Statistics; Time series analysis; Fine particulate matter; Primary standards; Regional controls; Risk exposure; Risk to human health; Shandong province; Spatiotemporal patterns; Standard deviation; Air pollution control; atmospheric pollution; health risk; particulate matter; pollution control; pollution exposure; pollution monitoring; remote sensing; risk assessment; spatiotemporal analysis; China"
"Resilience trade-offs: addressing multiple scales and temporal aspects of urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926497020&doi=10.1177%2f0956247814550780&partnerID=40&md5=759f9d2cab8d456ef8ca63485e0e2377","climate change adaptation; resilience trade-offs; scales; sustainability transition; urban resilience","climate change; disaster management; flooding; hazard management; natural hazard; sustainability; Bolivia; Kampala; Netherlands; Uganda; Chenopodium quinoa"
"Flood risk and adaptation strategies under climate change and urban expansion: A probabilistic analysis using global data","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956719059&doi=10.1016%2fj.scitotenv.2015.08.068&partnerID=40&md5=38327aac4b086162c03830e8e2f695be","Adaptation; Climate change impacts; Flood risk; Global modeling; Indonesia; Urbanization","Climate change; Developing countries; Economics; Population statistics; Risk assessment; Risk management; Sea level; Urban growth; Adaptation; Climate change impact; Flood risks; Global modeling; Indonesia; Urbanization; Floods; adaptive management; climate change; climate effect; developing world; flood control; modeling; probability; risk assessment; urban development; urbanization; adaptive environmental management; Article; case study; climate change; economic development; environmental planning; environmental protection; flooding; hazard assessment; Indonesia; land use; priority journal; risk assessment; risk reduction; river; sea level rise; seashore; urban area; urbanization; Greater Sunda Islands; Indonesia; Java; Sunda Isles"
"Pharmaceuticals in tap water: Human health risk assessment and proposed monitoring framework in China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879594320&doi=10.1289%2fehp.1206244&partnerID=40&md5=b3ddea69bd1a7b69e2df3debffc32d60","China; Indicator; Life stage; Pharmaceuticals; Risk assessment; Tap water","caffeine; carbamazepine; clofibric acid; dimetridazole; metronidazole; salicylic acid; sulfadimidine; sulfathiazole; tap water; thiamphenicol; tylosin; veterinary drug; adolescent; adult; aged; article; child; China; chlorination; drug industry; health hazard; human; low risk population; priority journal; risk assessment; risk management; safety; spatiotemporal analysis; water contamination"
"Insights from socio-hydrology modelling on dealing with flood risk - Roles of collective memory, risk-taking attitude and trust","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907160459&doi=10.1016%2fj.jhydrol.2014.01.018&partnerID=40&md5=05d21a839ac7e9633353110fbc36df45","Dynamic modelling; Feedback; Floodplain; Human-flood interaction; Risk coping culture","Banks (bodies of water); Dynamic models; Economic and social effects; Economics; Feedback; Flood control; Risk assessment; Risk management; Risk perception; Collective memory; Community development; Economic growths; Economic opportunities; Flood plains; Flood protection; Human-flood interaction; Risk reduction measures; Floods; flood damage; flooding; floodplain; memory; nature-society relations; perception; public attitude; risk assessment; trade-off"
"Deploying public charging stations for electric vehicles on urban road networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942105855&doi=10.1016%2fj.trc.2015.08.018&partnerID=40&md5=1ddb76a9e9a130565356da9451ccdfbd","Battery electric vehicles; Deployment plan; Public charging stations; Recharging; Tour-based network equilibrium","Amphibious vehicles; Electric batteries; Electric vehicles; Energy utilization; Flow patterns; Genetic algorithms; Iterative methods; Motor transportation; Recharging (underground waters); Risk management; Roads and streets; Secondary batteries; Vehicles; Battery electric vehicles; Charging infrastructures; Charging station; Charging station locations; Deployment plans; Mathematical program; Multiclass networks; Network equilibrium; Charging (batteries); electric vehicle; energy use; road transport; transportation infrastructure; travel time; urban transport"
