Title,Link,Author Keywords,Index Keywords
"The global distribution and burden of dengue","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876804736&doi=10.1038%2fnature12060&partnerID=40&md5=b4f9e76203e38a8874c74e04460587c7",,"dengue fever; disease control; disease prevalence; disease spread; estimation method; health risk; infectious disease; mapping; mosquito; numerical model; public health; spatial analysis; Africa; article; Asia; Brazil; China; dengue; environmental change; evidence based medicine; geographic distribution; help seeking behavior; high risk population; India; Indonesia; infection rate; infection risk; lowest income group; Pacific islands; pathogen load; Plasmodium falciparum; Plasmodium vivax malaria; population dispersion; population size; priority journal; tropics; urban area; virus transmission; Western Hemisphere; Dengue virus"
"Impact of human mobility on the emergence of dengue epidemics in Pakistan","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942892889&doi=10.1073%2fpnas.1504964112&partnerID=40&md5=277dffeb7713798ca7febcf544459ed1","Dengue; Epidemiology; Human mobility; Mobile phones; Pakistan","Article; climate; dengue; Dengue virus; disease transmission; epidemic; human; mobile phone; mobilization; Pakistan; population migration; priority journal; biological model; dengue; epidemic; population density; statistics and numerical data; time factor; transmission; travel; Cell Phones; Dengue; Disease Outbreaks; Humans; Models, Biological; Pakistan; Population Density; Time Factors; Travel"
"Source identification and ecological risk assessment of heavy metals in topsoil using environmental geochemical mapping: Typical urban renewal area in Beijing, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888132756&doi=10.1016%2fj.gexplo.2013.10.002&partnerID=40&md5=8dfef68198104e11322ab6b0994e4b9e","Ecological risk assessment; Geochemical mapping; Heavy metals; Urban renewal area","Distribution characteristics; Ecological risk assessment; Geochemical mapping; Geostatistical analysis; Potential ecological risk; Soil concentrations; Source identification; Urban renewal; Cadmium; Chemical industry; Copper; Ecology; Exploratory geochemistry; Heavy metals; Lead; Maps; Mercury (metal); Multivariant analysis; Nickel; Risk assessment; Risk perception; Soils; Spatial distribution; Zinc; Pollution; concentration (composition); ecological impact; heavy metal; multivariate analysis; risk assessment; soil chemistry; spatial distribution; topsoil; trace element; urban renewal; Beijing [China]; China"
"Assessment of groundwater contamination risk using hazard quantification, a modified DRASTIC model and groundwater value, Beijing Plain, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862745367&doi=10.1016%2fj.scitotenv.2012.06.005&partnerID=40&md5=0914a08a6927f0809c0ca7f0d730296a","Beijing Plain; Groundwater contamination risk; Groundwater value; Hazard; Intrinsic vulnerability","Aquifer storage; Aquifer vulnerability; Beijing Plain; Contaminant distributions; Contaminant loads; Contaminant properties; Contamination sources; DRASTIC model; Dynamic characteristics; Effective tool; Gas stations; GIS technology; Ground-water qualities; Groundwater contamination; Groundwater exploitation; Groundwater management; Hazard map; Industrial area; Intrinsic vulnerability; Risk assessment methods; Risk class; Site investigations; Thematic maps; Vulnerability maps; Vulnerable area; Aquifers; Contamination; Groundwater resources; Hazards; Maps; Risk assessment; Water management; Water quality; Groundwater pollution; ground water; aquifer pollution; decision making; GIS; groundwater pollution; hazard assessment; pollutant source; risk assessment; thematic mapping; vulnerability; article; audiovisual equipment; China; feasibility study; geographic distribution; hazard assessment; mathematical model; priority journal; quantitative study; risk assessment; thematic analysis; water analysis; water contamination; water quality; China; Cities; Drinking Water; Geographic Information Systems; Groundwater; Models, Theoretical; Risk Assessment; Water Pollution, Chemical; Beijing [China]; China"
"The global distribution of Crimean-Congo hemorrhagic fever","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939550345&doi=10.1093%2ftrstmh%2ftrv050&partnerID=40&md5=42a348a3889480bbd6db3c238b5ae491","Crimean-congo hemorrhagic fever; Crimean-congo hemorrhagic fever virus; Ecological niche modeling; Infectious diseases; Tick-borne diseases; Vector-borne diseases","Africa south of the Sahara; Article; Black Sea; Crimean Congo hemorrhagic fever; Crimean Congo hemorrhagic fever virus; data base; ecological niche; geographic distribution; grass; habitat fragmentation; health care cost; human; Hyalomma; land use; quality control; risk factor; shrub; species distribution; temperature; tick; Turkey (republic); urban area; agricultural worker; animal; animal husbandry; arachnid vector; blood; Disease Outbreaks; geography; health; Hemorrhagic Fever, Crimean; Nairovirus; Occupational Diseases; occupational exposure; pathogenicity; phylogeny; prevention and control; slaughterhouse; transmission; virology; Animalia; Bunyaviridae; Crimean-Congo hemorrhagic fever virus; Ixodida; Vertebrata; Abattoirs; Animal Husbandry; Animals; Arachnid Vectors; Disease Outbreaks; Farmers; Geography; Global Health; Hemorrhagic Fever Virus, Crimean-Congo; Hemorrhagic Fever, Crimean; Humans; Occupational Diseases; Occupational Exposure; Phylogeny; Ticks"
"Path planning strategies for UAVS in 3D environments","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855432288&doi=10.1007%2fs10846-011-9568-2&partnerID=40&md5=9fd54b451a8b5695ffc1de72624422c1","3D environments; A; Path planning; ThetaUAVs","3-D environments; A; Algorithm performance; Digital Elevation Map; Flight mechanics; Graph search; Graph-search algorithms; Heuristic principle; Path-planning algorithm; Payload capabilities; Planning strategies; Planning tools; Postprocessing algorithms; Research groups; Risk maps; ThetaUAVs; Urban environments; Video game; Waypoints; Aircraft accidents; Atmospheric movements; Flight paths; Graph theory; Learning algorithms; Motion planning; Robot programming; Robotics; Three dimensional; Three dimensional computer graphics"
"Integrating hierarchical bioavailability and population distribution into potential eco-risk assessment of heavy metals in road dust: A case study in Xiandao District, Changsha city, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944111730&doi=10.1016%2fj.scitotenv.2015.09.139&partnerID=40&md5=6d3411945e2b6baa93285d335487b880","Heavy metals; Hierarchical bioavailability; Population distribution; Potential eco-risk assessment; Road dust","Air pollution; Biochemistry; Cadmium; Copper; Dust; Heavy metals; Highway administration; Land use; Lead; Maps; Pollution; Population distribution; Population statistics; Risk management; Roads and streets; Transportation; Zinc; Geo-accumulation index; Hierarchical bioavailability; Metal concentrations; Population densities; Priority pollutants; Risk assessment methods; Risk management strategies; Road dusts; Risk assessment; air quality; atmospheric pollution; bioavailability; concentration (composition); dust; heavy metal; hierarchical system; population distribution; risk assessment; Changsha; China; Hunan; dust; heavy metal; pollutant; soil; analysis; chemistry; China; city; demography; dust; environmental exposure; environmental monitoring; human; pollutant; pollution; risk assessment; soil; statistics and numerical data; traffic and transport; China; Cities; Demography; Dust; Environmental Exposure; Environmental Monitoring; Environmental Pollutants; Environmental Pollution; Humans; Metals, Heavy; Risk Assessment; Soil; Transportation"
"Application of remote sensing data and GIS for landslide risk assessment as an environmental threat to Izmir city (west Turkey)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865324961&doi=10.1007%2fs10661-011-2352-8&partnerID=40&md5=7f18fa676aab4fd79bc182d38a89921b","GIS; Landslide; Remote sensing; Risk; Turkey","Earthquakes; Hazards; Information use; Land use; Landslides; Lithology; Maps; Remote sensing; Risk assessment; Risks; Urban growth; Environmental threats; Governmental authorities; Landslide susceptibility; Logistic regressions; Remote sensing data; Remote sensing techniques; Susceptibility maps; Turkey; Geographic information systems; environmental impact assessment; GIS; hazard assessment; land use planning; landslide; local government; numerical model; regression analysis; remote sensing; risk assessment; trigger mechanism; vulnerability; accuracy; area under the curve; article; distance from drainage line; distance from fault; distance from road; earthquake; environmental impact; environmental parameters; geographic distribution; geographic information system; landslide; lithology; precipitation; remote sensing; risk assessment; risk factor; slope aspect; slope gradient; statistical model; Turkey (republic); urbanization; Izmir Bay; Izmir [Izmir (PRV)]; Izmir [Turkey]; Turkey"
"Mapping heatwave health risk at the community level for public health action","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866125838&doi=10.1186%2f1476-072X-11-38&partnerID=40&md5=50d4f8f78f6033c4bbea3931bf7f5865","Heatwave health risk; Land cover; Land surface temperature; Public health; Remote sensing; Spatial risk assessment; Urban heat island; Vulnerable populations","climate change; climate effect; health risk; heat island; land cover; land surface; mapping method; public health; remote sensing; surface temperature; urban area; article; demography; environmental monitoring; equipment; France; geographic mapping; heat; human; public health; public health service; regression analysis; risk assessment; Environmental Monitoring; Extreme Heat; France; Geographic Mapping; Humans; Public Health; Public Health Practice; Regression Analysis; Residence Characteristics; Risk Assessment"
"Urban flood risk mapping using the GARP and QUEST models: A comparative study of machine learning techniques","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058226949&doi=10.1016%2fj.jhydrol.2018.12.002&partnerID=40&md5=31013bb471dbcbf6d7c8d799d6351c28","Data-mining; FANP; Flood risk management; GIS; Urban planning","Artificial intelligence; Data mining; Economics; Flood control; Genetic algorithms; Geographic information systems; Groundwater; Hazards; Hydraulic machinery; Land use; Learning systems; Maps; Population distribution; Population dynamics; Population statistics; Risk management; Trees (mathematics); Urban planning; FANP; Flood risk management; Flood vulnerabilities; Fuzzy analytical network process; Machine learning models; Machine learning techniques; Receiver operator characteristic curves; Socio-economic conditions; Floods; accuracy assessment; comparative study; data mining; flood; flood damage; GIS; hydrological modeling; machine learning; mapping method; risk assessment; urban area; urban planning; vulnerability; Iran; Mazandaran; Sari"
