Title,Link,Author Keywords,Index Keywords
"Resilience: A Bridging Concept or a Dead End? ""Reframing"" Resilience: Challenges for Planning Theory and Practice Interacting Traps: Resilience Assessment of a Pasture Management System in Northern Afghanistan Urban Resilience: What Does it Mean in Planning Practice? Resilience as a Useful Concept for Climate Change Adaptation? The Politics of Resilience for Planning: A Cautionary Note","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862007519&doi=10.1080%2f14649357.2012.677124&partnerID=40&md5=8bfc36fc2af7bc507986d21d54738c67",,
"Defining urban resilience: A review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952362027&doi=10.1016%2fj.landurbplan.2015.11.011&partnerID=40&md5=d4a084e69851e1f082a019746f0e6d25","Adaptation; Adaptive capacity; Climate change; Resilient cities; Socio-ecological systems; Urban resilience","Climate change; Decision making; Adaptation; Adaptive capacity; Resilient cities; Socio-ecological systems; Urban resilience; Urban growth; adaptive management; climate change; literature review; theoretical study; urban housing; urban planning"
"Urban landscape sustainability and resilience: The promise and challenges of integrating ecology with urban planning and design","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884813768&doi=10.1007%2fs10980-012-9799-z&partnerID=40&md5=a301d0bccd404cc38e28cd84355117dc","Strategic planning; Urban biodiversity; Urban resilience; Urban sustainability","biodiversity; landscape; resilience; sustainability; urban planning"
"Planning the resilient city: Concepts and strategies for coping with climate change and environmental risk","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875210721&doi=10.1016%2fj.cities.2012.05.004&partnerID=40&md5=2b937c56f5b2e6e2e6a872c120670143","Climate change; Environmental risks; Planning; Urban resilience","climate change; conceptual framework; coping strategy; environmental risk; stakeholder; strategic approach; urban planning; urban society"
"Urban ecosystem services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948188420&doi=10.1007%2f978-94-007-7088-1_11&partnerID=40&md5=fe4448aa5738e2c4393b5d8a49194cd6",,
"The potential of 'Urban Green Commons' in the resilience building of cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871573439&doi=10.1016%2fj.ecolecon.2012.10.016&partnerID=40&md5=696b123e29320a0b91f9efd47d49de75","Cognitive resilience building; Common property systems; Cultural diversity; Ecosystem services; Social-ecological memory; Urban systems","biodiversity; common property resource; cultural change; ecosystem service; environmental economics; environmental protection; greenspace; land management; learning; park management; residential development; resilience; urban system; urbanization"
"A theory on urban resilience to floods-A basis for alternative planning practices","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871963158&doi=10.5751%2fES-05231-170448&partnerID=40&md5=b3fe26b9d81dd3ac3d7329db0353a2d1","Flood adaptation; Flood control; Flood hazard management; Resilience surrogate; Resilience-based management; Resilient cities; Urban floodplains; Urban resilience","adaptive management; flood control; floodplain; hazard management; mitigation; planning practice; planning theory; urban area"
"Resilience trade-offs: addressing multiple scales and temporal aspects of urban resilience","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926497020&doi=10.1177%2f0956247814550780&partnerID=40&md5=759f9d2cab8d456ef8ca63485e0e2377","climate change adaptation; resilience trade-offs; scales; sustainability transition; urban resilience","climate change; disaster management; flooding; hazard management; natural hazard; sustainability; Bolivia; Kampala; Netherlands; Uganda; Chenopodium quinoa"
"The uptake of the ecosystem services concept in planning discourses of European and American cities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928159635&doi=10.1016%2fj.ecoser.2014.11.013&partnerID=40&md5=7e764284e8963bf8b9eead0da3f194f6","Discourses; Ecosystem services; Human-nature relations; Policy-making; Resilience; Urban planning",
"Planning for climate change in urban areas: From theory to practice","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879981036&doi=10.1016%2fj.jclepro.2012.12.008&partnerID=40&md5=bc9be76441f56034ff8268067e592035","Adaptation; Climate change; Disaster; Risk reduction; Urban planning; Urban resilience; Urban transformation","Developing countries; Disasters; Life cycle; Urban growth; Urban planning; Adaptation; Knowledge development; Organizational learning; Post-disaster response; Risk reductions; Sustainable urban development; Urban resilience; Urban transformation; Climate change"
"Principles and criteria for assessing urban energy resilience: A literature review","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971201209&doi=10.1016%2fj.rser.2016.03.028&partnerID=40&md5=a81f807fc7d5b09e2520dcdd9d8ac64d","Assessment; Climate change mitigation and adaptation; Criteria; Principles; Resilience; Sustainability; Urban energy","Behavioral research; Energy resources; Land use; Risk management; Sustainable development; Urban planning; Assessment; Climate change mitigation; Criteria; Principles; Resilience; Urban energy; Climate change"
"Resilience of and through urban ecosystem services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028233610&doi=10.1016%2fj.ecoser.2014.07.012&partnerID=40&md5=b6ff56fff3fea808b2b8ae1cbbb94354","Governance; Resilience; Sustainability; Urban ecosystem services; Urban planning",
