Title,Link,Author Keywords,Index Keywords
"SUDS, LID, BMPs, WSUD and more – The evolution and application of terminology surrounding urban drainage","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940437411&doi=10.1080%2f1573062X.2014.916314&partnerID=40&md5=e23de467acce03f74d1763ef039895c7","alternative techniques; best management practices (BMPs); green infrastructure (GI); integrated urban water management (IUWM); Joint Committee on Urban Drainage (JCUD); low impact development (LID); low impact urban design and development (LIUDD); source control; stormwater control measures (SCMs); sustainable urban drainage systems (SUDS); terminology; urban drainage; urban stormwater management; water sensitive urban design (WSUD)","best management practice; integrated approach; stormwater; sustainable development; urban design; urban development; urban drainage; water management"
"Effectiveness of low impact development practices: Literature review and suggestions for future research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865488482&doi=10.1007%2fs11270-012-1189-2&partnerID=40&md5=c140f6603b9c09a005efe620e31ae569","Diffuse pollution; Environmental impact; Modeling; Runoff; Urban water planning; Water quality","Beneficial use; Computational model; Control measures; Diffuse pollution; Illustrative examples; Land development; Literature reviews; Low impact development; Micro-scales; Quality models; Research opportunities; Storm water runoff; Stormwaters; Urban waters; Environmental impact; Models; Runoff; Water quality; Storms; runoff; storm water; development strategy; environmental impact; modeling; runoff; stormwater; urban planning; water planning; water quality; adsorption; algorithm; article; decision support system; environmental protection; hydrology; land use; low impact development; mathematical model; simulation; water management; water pollutant; water quality"
"The structuration of socio-technical regimes - Conceptual foundations from institutional theory","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897614804&doi=10.1016%2fj.respol.2013.10.010&partnerID=40&md5=d2a1f43944ddff39a3b7f4a4a9b59f90","Australian urban water sector; Institutional logics; Institutionalization; Multi-level perspective; Socio-technical regime; Sustainability transitions","System stability; Institutional logic; Institutionalization; Multilevels; Socio-technical regimes; Sustainability transition; Urban waters; Trace elements"
"Water on an urban planet: Urbanization and the reach of urban water infrastructure","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905186776&doi=10.1016%2fj.gloenvcha.2014.04.022&partnerID=40&md5=3fabefc3f52cfd859886f84256a16be3","Cities; Cross-basin transfer; Desalination; Groundwater; Surface water; Water security","desalination; global economy; hydrological modeling; land surface; surface water; urban growth; water stress"
"Decision scaling: Linking bottom-up vulnerability analysis with climate projections in the water sector","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866982350&doi=10.1029%2f2011WR011212&partnerID=40&md5=484f19c5cd084c9dd8f73cabec7512b0",,"Assessment process; Best estimates; Climate change projections; Climate information; Climate projection; Decision process; Future climate; Multiple source; Response functions; Stochastic analysis; Stochastic assessment; Three-step process; Urban water supply system; Vulnerability analysis; Vulnerability assessments; Water sector; Climate change; Stochastic systems; Water supply; Water supply systems; Risk assessment; climate change; decision making; estimation method; numerical model; risk assessment; stochasticity; vulnerability; water industry; water supply"
"Emerging solutions to the water challenges of an urbanizing world","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971597466&doi=10.1126%2fscience.aad8641&partnerID=40&md5=6e5907932d6073bb718e9bdd0cd3a614",,"drinking water; storm water; water; waste water; aquatic ecosystem; drinking water; flooding; policy analysis; public health; stormwater; sustainability; urban area; urban planning; urbanization; water management; water resource; catchment; environmental protection; flooding; fluid intake; policy; priority journal; recycling; Review; urban hygiene; urbanization; waste management; waste water; waste water management; water management; water pollution control; water supply; Africa; Asia; city; human; population growth; waste water; water supply; Africa; Asia; Africa; Asia; Cities; Drinking Water; Humans; Population Growth; Urbanization; Waste Water; Water Resources; Water Supply"
"Comparison of multiple linear and nonlinear regression, autoregressive integrated moving average, artificial neural network, and wavelet artificial neural network methods for urban water demand forecasting in Montreal, Canada","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856246099&doi=10.1029%2f2010WR009945&partnerID=40&md5=a227e9a4d9456e61b17365c8e6734a76",,"Artificial Neural Network; Auto-regressive integrated moving average; Coefficient of determination; Daily water demand; Efficiency index; Key variables; Lead time; Maximum temperature; Montreal , Canada; Multiple linear regressions; Multiple nonlinear regression; Network models; Non-linear regression; Relative performance; Root mean square errors; Summer months; Sustainable management; Total precipitation; Urban water supply system; Urban waters; Discrete wavelet transforms; Forecasting; Linear regression; Mean square error; Water conservation; Water supply; Water supply systems; Neural networks; artificial neural network; comparative study; cost-benefit analysis; diurnal variation; linearity; nonlinearity; optimization; precipitation (climatology); sustainable development; water demand; water supply; wavelet analysis; Canada; Montreal; Quebec [Canada]"
"Towards sustainable urban water management: A critical reassessment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888846092&doi=10.1016%2fj.watres.2013.07.046&partnerID=40&md5=72b51eff77ee67409e213f97c158e801","Infrastructure management; Sustainable urban water management; Systems transitions","Climate change; Economics; Population statistics; Risk perception; Water management; Critical assessment; Environmental strain; Hybridisation process; Infrastructure managements; Infrastructure systems; Perceptions of risks; Urban water management; Urban water systems; Urban growth; drinking water; ground water; rain; storm water; surface water; cost-benefit analysis; critical analysis; infrastructural development; numerical model; risk perception; socioeconomic conditions; sustainability; urban area; water management; article; capital; financial management; hybridization; investment; predictive value; priority journal; sustainable urban water management; urban area; waste disposal; water contamination; water cycle; water management; water supply; Infrastructure management; Sustainable urban water management; Systems transitions; Conservation of Natural Resources; Urbanization; Water Supply"
"The urban forest and ecosystem services: Impacts on urban water, heat, and pollution cycles at the tree, street, and city scale","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957558439&doi=10.2134%2fjeq2015.11.0567&partnerID=40&md5=cec7be9c3e6fdb7ffd28fb3a4d6c6896",,"Air quality; Biogeochemistry; Ecosystems; Floods; Nutrients; Runoff; Storm sewers; Storms; Urban planning; Volatile organic compounds; Water pollution; Water quality; Biogeochemical cycle; Canopy interception; Ecosystem services; Environmental challenges; Environmental services; Global perspective; Particulate pollution; Water quality improvements; Forestry; ozone; rain; storm water; volatile organic compound; water; air pollutant; air quality; Article; biofilter; biogeochemical cycle; canopy; city; climate; cooling; ecosystem; environmental impact; environmental planning; forest; heat; landscape; manager; microclimate; nutrient uptake; pedestrian; pollution; shade; soil; urban area; water pollution; water quality; water transport; wellbeing; heat; human; pollutant; tree; Cities; Ecosystem; Environmental Pollutants; Forests; Hot Temperature; Humans; Trees; Water"
"Urban water demand forecasting: Review of methods and models","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892846694&doi=10.1061%2f%28ASCE%29WR.1943-5452.0000314&partnerID=40&md5=a47b41d842871eee1514ed6e1e171aea","Decision making; Forecasting; Time series; Uncertainty; Urban water demand","Decision-making problem; Demand forecast; Econometric model; Probabilistic forecasting; Short-term forecasting; Strategic decisions; Uncertainty; Urban waters; Decision making; Neural networks; Time series; Forecasting; artificial neural network; decision making; econometrics; forecasting method; numerical model; time series analysis; uncertainty analysis; urban area; water demand"
